property_type,area,bathrooms,bedrooms,parking_spots,neighborhood,rent,more_than_1_floor,furnished,barbecue_grill,kitchen,pool,beach_distance,latitude,longitude
apartment,115,3,3,2,Boa Viagem,3859,0,0,1,0,1,0.7269148980153953,-8.1235027,-34.9033955
apartment,180,4,4,1,Boa Viagem,4147,0,0,0,0,0,0.28614212243091086,-8.114359050000001,-34.89292198125
apartment,72,3,3,1,Imbiribeira,2500,0,0,1,0,1,1.7652480185840782,-8.1101578,-34.9075502
apartment,75,2,3,1,Boa Viagem,2400,0,0,1,0,1,0.7269148980153953,-8.1235027,-34.9033955
apartment,52,1,2,1,Madalena,2500,0,0,0,0,1,4.764163096869336,-8.0549796,-34.9116939
apartment,55,1,2,1,Boa Viagem,2800,0,0,0,0,0,0.3147281099487244,-8.1141184,-34.8933999
apartment,130,2,3,1,Boa Viagem,5028,0,0,0,0,0,0.7269148980153953,-8.1235027,-34.9033955
apartment,68,2,2,1,Boa Viagem,2215,0,0,1,0,1,0.5012946218180288,-8.1082492,-34.8930517
apartment,130,4,3,2,Boa Viagem,6800,0,1,0,1,0,0.7227681149373681,-8.1175024,-34.900879
apartment,32,1,1,1,Boa Viagem,1700,0,1,1,0,1,0.276317647912934,-8.1145178,-34.8936552
apartment,80,2,3,1,Boa Viagem,1600,0,0,0,0,0,0.7281432762837637,-8.1268668,-34.904677
apartment,56,2,2,1,Graças,2300,0,0,0,0,1,3.149109602072812,-8.0497816,-34.894161
apartment,55,2,2,1,Boa Viagem,2000,0,0,1,0,1,1.0042301161677258,-8.1270134,-34.9074451
apartment,81,3,3,2,Boa Viagem,4500,0,1,0,0,1,0.23836635510182838,-8.1106328,-34.8905628
apartment,188,2,4,2,Graças,3600,0,0,0,0,0,3.9613565062874447,-8.049984,-34.9017221
apartment,65,2,2,1,Encruzilhada,1500,0,0,0,0,0,2.6382893610302895,-8.0353823,-34.8905444
apartment,150,5,4,2,Boa Viagem,7700,0,0,1,0,1,0.030947768686880064,-8.1364165,-34.9016825
apartment,32,1,1,1,Paissandu,1800,0,0,0,0,1,3.25811236839663,-8.0610083,-34.8990999
apartment,50,2,2,2,Aflitos,2212,0,0,1,0,1,3.2713597418438507,-8.0392007,-34.8967064
apartment,131,1,3,2,Boa Viagem,3500,0,0,1,0,0,0.7831833257688083,-8.1123106,-34.8984275
apartment,110,3,3,2,Graças,3000,0,0,0,0,0,3.4309918466166875,-8.0502519,-34.8966858
apartment,45,2,2,1,Espinheiro,1900,0,0,0,0,0,3.129051487861917,-8.0436341,-34.8952066
apartment,53,1,2,1,Boa Viagem,2901,0,1,0,0,1,0.030947768686880064,-8.1364165,-34.9016825
apartment,63,1,2,1,Boa Viagem,2000,0,0,1,0,1,0.276317647912934,-8.1145178,-34.8936552
apartment,100,2,3,0,São José,1100,0,0,0,0,0,1.1832798912797347,-8.071201949999999,-34.882580589922426
apartment,46,1,2,1,Boa Viagem,3000,0,0,0,0,0,0.19621716521765944,-8.1161778,-34.894659
apartment,363,2,4,3,Boa Viagem,9999,0,0,0,1,0,0.03227179238952429,-8.1296574,-34.899013
apartment,178,5,4,3,Boa Viagem,9615,0,0,0,0,1,0.20036389633915958,-8.10519865,-34.88752798943299
apartment,88,3,3,2,Madalena,3096,0,0,1,0,1,4.4552706993419875,-8.0506834,-34.9061582
apartment,63,2,2,2,Caxangá,1120,0,0,0,0,0,9.652818439507824,-8.0320708,-34.9542498
apartment,144,6,4,2,Boa Viagem,5500,0,0,1,0,1,0.7269148980153953,-8.1235027,-34.9033955
apartment,54,1,2,1,Rosarinho,2300,0,0,0,1,1,3.2855979875787353,-8.0327156,-34.8959693
apartment,186,3,3,2,Boa Viagem,4500,0,0,0,0,0,0.7269148980153953,-8.1235027,-34.9033955
